Frame,Timestamp,ActorID,ActorType,SpeedLimitValue(km/h),Velocity
4212,168.55378886079416,135,vehicle.lincoln.mkz_2017,30.0,30.99781185416473
4213,168.60378886153921,135,vehicle.lincoln.mkz_2017,30.0,32.34304715000133
4214,168.65378886228427,135,vehicle.lincoln.mkz_2017,30.0,33.66561477037455
4215,168.70378886302933,135,vehicle.lincoln.mkz_2017,30.0,34.84928248575145
4216,168.7537888637744,135,vehicle.lincoln.mkz_2017,30.0,35.6631633034188
4217,168.80378886451945,135,vehicle.lincoln.mkz_2017,30.0,35.11535069477679
4218,168.8537888652645,135,vehicle.lincoln.mkz_2017,30.0,35.77015312679354
4219,168.90378886600956,135,vehicle.lincoln.mkz_2017,30.0,37.52954794503452
4220,168.95378886675462,135,vehicle.lincoln.mkz_2017,30.0,39.00151950890862
4221,169.00378886749968,135,vehicle.lincoln.mkz_2017,30.0,40.272025396619654
4222,169.05378886824474,135,vehicle.lincoln.mkz_2017,30.0,41.407178962814136
4223,169.1037888689898,135,vehicle.lincoln.mkz_2017,30.0,42.45027886723719
4224,169.15378886973485,135,vehicle.lincoln.mkz_2017,30.0,43.4320369375061
4225,169.2037888704799,135,vehicle.lincoln.mkz_2017,30.0,44.373214984138606
4226,169.25378887122497,135,vehicle.lincoln.mkz_2017,30.0,45.288058212667515
4227,169.30378887197003,135,vehicle.lincoln.mkz_2017,30.0,46.18624193395764
4228,169.35378887271509,135,vehicle.lincoln.mkz_2017,30.0,47.07434110101594
4229,169.40378887346014,135,vehicle.lincoln.mkz_2017,30.0,47.95683973099095
4230,169.4537888742052,135,vehicle.lincoln.mkz_2017,30.0,48.83677634303661
4231,169.50378887495026,135,vehicle.lincoln.mkz_2017,30.0,49.71623844882975
4232,169.55378887569532,135,vehicle.lincoln.mkz_2017,30.0,50.59772552481954
4233,169.60378887644038,135,vehicle.lincoln.mkz_2017,30.0,50.42176862091456
4234,169.65378887718543,135,vehicle.lincoln.mkz_2017,30.0,50.46279305448559
4235,169.7037888779305,135,vehicle.lincoln.mkz_2017,30.0,51.082373808321165
4236,169.75378887867555,135,vehicle.lincoln.mkz_2017,30.0,51.32648152228438
4237,169.8037888794206,135,vehicle.lincoln.mkz_2017,30.0,51.21305842904968
4238,169.85378888016567,135,vehicle.lincoln.mkz_2017,30.0,50.87946943578619
4239,169.90378888091072,135,vehicle.lincoln.mkz_2017,30.0,50.574403955682016
4240,169.95378888165578,135,vehicle.lincoln.mkz_2017,30.0,50.316048579711435
4241,170.00378888240084,135,vehicle.lincoln.mkz_2017,30.0,50.034709229929035
4242,170.0537888831459,135,vehicle.lincoln.mkz_2017,30.0,49.707135870189035
4243,170.10378888389096,135,vehicle.lincoln.mkz_2017,30.0,49.38536574300182
4244,170.15378888463601,135,vehicle.lincoln.mkz_2017,30.0,49.064263830480385
4245,170.20378888538107,135,vehicle.lincoln.mkz_2017,30.0,48.744533205591146
4246,170.25378888612613,135,vehicle.lincoln.mkz_2017,30.0,48.51350798744912
4247,170.3037888868712,135,vehicle.lincoln.mkz_2017,30.0,48.36709017698741
4248,170.35378888761625,135,vehicle.lincoln.mkz_2017,30.0,48.31271603452219
4249,170.4037888883613,135,vehicle.lincoln.mkz_2017,30.0,47.23101048926613
4250,170.45378888910636,135,vehicle.lincoln.mkz_2017,30.0,46.44738248049653
4251,170.50378888985142,135,vehicle.lincoln.mkz_2017,30.0,45.7645119305187
4252,170.55378889059648,135,vehicle.lincoln.mkz_2017,30.0,45.178174053299635
4253,170.60378889134154,135,vehicle.lincoln.mkz_2017,30.0,44.62602249457463
4254,170.6537888920866,135,vehicle.lincoln.mkz_2017,30.0,44.132465531955425
4255,170.70378889283165,135,vehicle.lincoln.mkz_2017,30.0,43.598301632626494
4256,170.7537888935767,135,vehicle.lincoln.mkz_2017,30.0,42.832198537839524
4257,170.80378889432177,135,vehicle.lincoln.mkz_2017,30.0,41.960038154675736
4258,170.85378889506683,135,vehicle.lincoln.mkz_2017,30.0,41.06685209989271
4259,170.90378889581189,135,vehicle.lincoln.mkz_2017,30.0,40.34014431391585
4260,170.95378889655694,135,vehicle.lincoln.mkz_2017,30.0,39.97509759828991
4261,171.003788897302,135,vehicle.lincoln.mkz_2017,30.0,39.07901161097526
4262,171.05378889804706,135,vehicle.lincoln.mkz_2017,30.0,37.106065959014
4263,171.10378889879212,135,vehicle.lincoln.mkz_2017,30.0,35.31864778636291
4264,171.15378889953718,135,vehicle.lincoln.mkz_2017,30.0,33.15189313269372
4265,171.20378890028223,135,vehicle.lincoln.mkz_2017,30.0,31.88121413195419
